#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 382750:9860  | 07/04/24 11:35:32 | 530  | 530  | 0.252986715    | 0.236321487   |
| 382752:9860  | 07/04/24 15:08:42 | 709  | 709  | 0.339234369    | 0.321328772   |
| 382769:9861  | 07/05/24 00:19:42 | 1522 | 1522 | 0.675838961    | 0.639619302   |
| 382770:9861  | 07/05/24 10:19:22 | 586  | 586  | 0.168726594    | 0.163564652   |
| 382791:9862  | 07/05/24 17:32:53 | 105  | 105  | 0.032286956    | 0.030508951   |
| 382792:9862  | 07/05/24 18:18:12 | 80   | 80   | 0.039364885    | 0.031606372   |
| 382794:9862  | 07/05/24 18:54:44 | 14   | 14   | 0.006896043    | 0.005272803   |
| 382795:9862  | 07/05/24 19:03:19 | 468  | 468  | 0.230911250    | 0.216816410   |
| 382799:9864  | 07/06/24 01:44:41 | 615  | 615  | 0.281245455    | 0.264622613   |
| 382810:9865  | 07/06/24 09:09:34 | 70   | 70   | 0.019169456    | 0.018233122   |
| 382811:9865  | 07/06/24 09:42:19 | 396  | 396  | 0.194854514    | 0.182155208   |
| 382830:9867  | 07/06/24 23:56:53 | 75   | 75   | 0.023514056    | 0.022652512   |
| 382834:9869  | 07/07/24 04:03:04 | 758  | 758  | 0.356844275    | 0.333776075   |
| 382856:9871  | 07/07/24 12:22:27 | 421  | 421  | 0.197383343    | 0.183045222   |
| 382878:9873  | 07/07/24 20:54:09 | 847  | 847  | 0.402756964    | 0.378567311   |
| 382913:9877  | 07/08/24 14:41:36 | 2287 | 2287 | 0.890910213    | 0.847228370   |
| 382921:9878  | 07/09/24 08:24:31 | 1185 | 1185 | 0.568754080    | 0.532665875   |
| 382922:9878  | 07/09/24 16:44:19 | 83   | 83   | 0.034268572    | 0.029410510   |
| 382924:9878  | 07/09/24 17:25:22 | 247  | 247  | 0.091833628    | 0.087972654   |
| 382937:9879  | 07/09/24 21:42:48 | 473  | 473  | 0.222005311    | 0.209507089   |
| 382960:9883  | 07/10/24 07:52:18 | 557  | 557  | 0.262956382    | 0.246002499   |
| 383028:9885  | 07/11/24 01:48:44 | 89   | 89   | 0.033780910    | 0.031683375   |
| 383034:9886  | 07/11/24 05:08:29 | 666  | 666  | 0.317404153    | 0.294211632   |
| 383036:9886  | 07/11/24 09:34:23 | 58   | 58   | 0.028454856    | 0.026108934   |
| 383134:9891  | 07/12/24 19:19:21 | 110  | 110  | 0.007805268    | 0.007559966   |
| 383148:9895  | 07/13/24 04:50:42 | 537  | 537  | 0.039891146    | 0.038816772   |
| 383153:9896  | 07/13/24 10:30:17 | 194  | 194  | 0.082524847    | 0.066290769   |
| 383155:9896  | 07/13/24 11:58:32 | 1849 | 1849 | 0.770116713    | 0.729064007   |
| 383162:9899  | 07/14/24 03:43:21 | 1531 | 1528 | 0.708042837    | 0.670269694   |
| 383163:9899  | 07/14/24 13:49:37 | 514  | 514  | 0.164997428    | 0.158638623   |
| 383173:9900  | 07/14/24 19:48:15 | 929  | 929  | 0.441391062    | 0.413853890   |
| 383174:9900  | 07/15/24 01:54:31 | 1022 | 1021 | 0.392630690    | 0.368981135   |
| 383175:9900  | 07/15/24 08:35:34 | 158  | 158  | 0.042406493    | 0.039674480   |
| 383247:9904  | 07/15/24 23:52:58 | 108  | 108  | 0.041962944    | 0.039531061   |
| 383254:9905  | 07/16/24 03:16:42 | 1222 | 1222 | 0.585197544    | 0.544061823   |
| 383255:9905  | 07/16/24 11:15:11 | 915  | 915  | 0.322243399    | 0.309093684   |
| 383275:9906  | 07/16/24 20:29:35 | 177  | 177  | 0.076683805    | 0.067014870   |
| 383276:9906  | 07/16/24 21:41:35 | 292  | 292  | 0.143090261    | 0.133449375   |
| 383277:9906  | 07/16/24 23:40:05 | 676  | 676  | 0.330170929    | 0.309706639   |
| 383323:9910  | 07/17/24 13:35:57 | 1259 | 1259 | 0.602011422    | 0.560575478   |
| 383326:9910  | 07/17/24 22:14:32 | 516  | 516  | 0.183121341    | 0.171917652   |
| 383363:9911  | 07/18/24 09:52:44 | 738  | 738  | 0.347036155    | 0.324209187   |
| 383365:9911  | 07/18/24 14:48:58 | 49   | 49   | 0.024027718    | 0.021505066   |
| 383366:9911  | 07/18/24 15:11:12 | 27   | 27   | 0.013310872    | 0.011481982   |
| 383367:9911  | 07/18/24 15:24:35 | 176  | 176  | 0.086304594    | 0.080134564   |
| 383368:9911  | 07/18/24 17:16:22 | 1037 | 1037 | 0.365372532    | 0.351893915   |
| 383377:9912  | 07/19/24 03:48:39 | 279  | 279  | 0.126277544    | 0.118070441   |
| 383417:9917  | 07/20/24 01:05:27 | 779  | 779  | 0.369116471    | 0.342660476   |
| 383418:9917  | 07/20/24 06:11:07 | 917  | 917  | 0.391100117    | 0.369955105   |
| 383447:9920  | 07/20/24 20:44:24 | 474  | 474  | 0.220522340    | 0.205511642   |
| 383448:9920  | 07/20/24 23:49:52 | 465  | 465  | 0.227703482    | 0.209693511   |
| 383449:9920  | 07/21/24 02:51:34 | 1248 | 1248 | 0.453163560    | 0.434277347   |
| 383467:9921  | 07/21/24 13:30:14 | 177  | 177  | 0.075295668    | 0.069124132   |
| 383468:9921  | 07/21/24 14:41:34 | 2148 | 2148 | 0.856285857    | 0.812248151   |
| 383485:9923  | 07/22/24 08:25:14 | 77   | 77   | 0.026238563    | 0.024136292   |
| 383486:9923  | 07/22/24 08:56:37 | 116  | 116  | 0.056032861    | 0.046405604   |
| 383487:9923  | 07/22/24 09:47:12 | 2040 | 2040 | 0.854753907    | 0.803951784   |
| 383496:9925  | 07/23/24 02:52:20 | 181  | 181  | 0.079421046    | 0.072944412   |
| 383512:9926  | 07/23/24 06:46:08 | 1755 | 1755 | 0.797912140    | 0.745547721   |
| 383514:9926  | 07/23/24 19:13:08 | 139  | 139  | 0.039168637    | 0.037923771   |
| 383536:9927  | 07/24/24 02:13:47 | 164  | 164  | 0.066994666    | 0.061898695   |
| 383537:9927  | 07/24/24 03:19:59 | 76   | 76   | 0.037157291    | 0.033194390   |
| 383541:9927  | 07/24/24 04:01:38 | 302  | 302  | 0.147306550    | 0.137444982   |
| 383629:9931  | 07/25/24 00:40:18 | 190  | 190  | 0.081392895    | 0.076852114   |
| 383630:9931  | 07/25/24 01:56:21 | 295  | 295  | 0.140454758    | 0.132558144   |
